"nombre","direccion","ciudad","telefono","categoria","tipoAlojamiento","categoriaPrecio","puntuacion","fechaApertura","numComentarios","admiteMascotas","adaptado","latitud","longitud","puntuacion","cadenaHotelera"
"Viceroy L'Ermitage Beverly Hills","9291 Burton Way","State of California","+34970621239","OTROS","BED_AND_BREAKFAST","ALTA","8.14","1993-05-01","37711","false","false","48.9361342","24.1594075","8.14","Silken"
"Royal Hotel; Great Yarmouth","Norfolk","Norfolk","+34936505167","CUATRO_ESTRELLAS","PENSION","MEDIA","2.27","1840-01-01","64954","false","true","57.7314161","12.0625459","2.27","Eurostars"
"The Peninsula Paris","19Avenue Kléber","Paris","+34950747534","CUATRO_ESTRELLAS","PENSION","ALTA","2.33","1908-09-01","64668","false","true","40.2365225","-8.5110798","2.33","Barceló"
"Largs Pier Hotel","198 Esplanade Largs Bay SA 5016","Largs Bay","+34970648523","UNA_ESTRELLA","BED_AND_BREAKFAST","LUJO","9.39","1882-09-01","44612","true","true","-7.2536471","107.8954131","9.39","Silken"
"66 Motel (Needles)","Desnok &East Broadway St.","Needles; California","+34940813324","CINCO_ESTRELLAS","HOTEL","ALTA","5.92","1946-06-01","38703","true","false","55.3226595","38.7095805","5.92","Eurostars"
"The Roosevelt Hotel (Manhattan)","45 East 45th Street","New York City","+34935071666","OTROS","APARTAMENTO","BAJA","7.59","1924-02-01","28509","true","true","14.6002303","121.0480673","7.59","Eurostars"
"Hotel Nassauer Hof","65183 Wiesbaden","Wiesbaden","+34974956332","CUATRO_ESTRELLAS","BED_AND_BREAKFAST","LUJO","1.6","1813-01-01","19877","true","false","32.084932","34.835226","1.6","Riu"
"Hotel Charlottetown","75 Kent Street","Charlottetown","+34953473600","UNA_ESTRELLA","APARTAMENTO","ALTA","7.99","1931-09-01","8308","false","true","0.9463536","-74.4994517","7.99","Eurostars"
"Sandcliff Hotel; Cromer","Norfolk","Cromer","+34991854260","UNA_ESTRELLA","PENSION","MEDIA","7.04","1895-03-01","12915","true","true","13.1353074","10.0499523","7.04","H10"
"Eversley Hotel; Cromer","Norfolk","Cromer","+34939052322","CINCO_ESTRELLAS","HOTEL","LUJO","0.82","1903-02-01","28518","true","true","31.827364","119.9690478","0.82","Riu"
"Dales Country House Hotel; Upper Sheringham","Sheringham","Upper Sheringham","+34973548062","OTROS","BED_AND_BREAKFAST","ALTA","0.97","2001-06-01","96182","false","false","42.8434544","45.632656","0.97","Iberostar"
"Ammende Villa","Mere Pst 7; 80010","Pärnu","+34937586473","UNA_ESTRELLA","PENSION","MEDIA","5.29","1999-10-01","92278","true","false","-13.5321991","-73.6760258","5.29","Meliá"
